315.618850573	315.618852284	315.738740769	315.738748467	315.738750605	315.738752316	315.738754026	315.738755737	315.848950199	315.848957469	315.848959607	315.848961318	315.848963029	315.848964739	315.956135272	315.956143397	315.956145963	315.956148101	315.956149812	315.956152378	316.077363164	316.077370862	316.077373	316.077374711	316.077376421	316.077378132	316.189980704	316.189987547	316.189990113	316.189991823	316.189993534	316.189995245	316.298868261	316.298877242	316.298879807	316.298881946	316.298884084	316.298886222	316.412522003	316.412530128	316.412532266	316.412534405	316.412536115	316.412538254	316.520463592	316.52047129	316.520473428	316.520475139	316.520476849	316.52047856	
1010	1011	1011	1013	1014	1014	1014	1015	1014	1014	1014	1013	1014	1014	1014	1015	1016	1016	1016	1016	1016	1016	1016	1016	1015	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1016	1015	1011	1009	1007	1005	1003	1002	1003	1004	1005	1005	1005	1005	1006	
1015	1016	1015	1013	1013	1011	1007	1002	996	991	986	984	981	981	984	993	1004	1006	1007	1007	1006	1004	1002	1001	999	999	998	999	999	997	997	997	996	996	996	996	996	1001	1003	1002	1000	1000	1002	1004	1006	1008	1009	1011	1012	1012	
1158	1162	1172	1209	1236	1262	1285	1304	1313	1311	1308	1308	1316	1323	1322	1310	1290	1290	1293	1294	1294	1295	1297	1298	1295	1299	1301	1300	1300	1302	1302	1303	1305	1307	1302	1290	1259	1185	1149	1127	1112	1102	1099	1105	1113	1120	1121	1119	1118	1119	
1001	1000	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1001	1004	1007	1010	1010	1010	1010	1010	1010	1010	1010	
998	995	989	980	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	979	979	978	978	978	978	978	978	978	978	978	978	978	978	979	981	986	998	1006	1012	1017	1022	1030	1033	1035	1036	1036	1036	1037	1037	
1042	1041	1038	1030	1027	1025	1025	1025	1023	1022	1022	1022	1023	1023	1023	1023	1024	1025	1026	1026	1026	1027	1026	1026	1026	1026	1026	1026	1026	1026	1026	1026	1025	1025	1024	1023	1019	1009	1005	1007	1019	1044	1078	1086	1087	1088	1086	1083	1079	1078	
